username, created_at, lng, lat, text
_therealMalikk, Fri Jan 29 18:59:11 +0000 2021, -91.401008, 30.937336, im finna do this😂😂😂😂 
toriisantiago, Fri Jan 29 18:59:11 +0000 2021, -86.441236, 39.766555, @chrismelSchleeb yee HAW 
_feehc, Fri Jan 29 18:59:11 +0000 2021, -81.563309, 28.449999, long time, no see 🤤 https://t.co/yzDrrVzxuD 
jayacoop, Fri Jan 29 18:59:11 +0000 2021, -84.433106, 33.767195, @jaketapper So, @senrobportman - what “jams Republicans” is opposition to relief. You can help shape a relief bill.… https://t.co/R1QpEbvo3F 
thebeadingnana, Fri Jan 29 18:59:11 +0000 2021, -82.442694, 27.996595, @williamlegate My 1SG once told me that when people complain, they're happy. It's the ones that aren't complaining… https://t.co/PS1fEXvjGF 
rungerdoo, Fri Jan 29 18:59:11 +0000 2021, -90.551064, 38.586212, She gotta go! 
gregtoohey, Fri Jan 29 18:59:11 +0000 2021, -118.767114, 34.190812, What if every restaurant in LA just left their TVs on?? 
SheriWhitt, Fri Jan 29 18:59:12 +0000 2021, -82.532321, 28.103375, @MeidasTouch #RadicalRubio 
jpep20, Fri Jan 29 18:59:12 +0000 2021, -75.117998, 40.004866, @DaddysHomeFF @FYFJohnLuke @4WhomJBellTolls @BestBallUKNFL @FantasyWildcard @FantasyInFrames @corbin_young21… https://t.co/sHbTocHXzf 
Buddhabman, Fri Jan 29 18:59:12 +0000 2021, -118.411907, 34.020789, @TheJusticeDept @CivilRights 
SimpsonAdmiss, Fri Jan 29 18:59:12 +0000 2021, -93.565326, 41.358391, Have you applied to Simpson College yet? No worries, you still have time. Check out our website linked in our profi… https://t.co/WnwBVRCX5W 
chtucker18, Fri Jan 29 18:59:12 +0000 2021, -76.824070, 39.093619, I'm at methadist field in Laurel, MD https://t.co/8fvwxnqzgj 
EveyOwen, Fri Jan 29 18:59:12 +0000 2021, -88.161555, 30.683649, https://t.co/wFYsH4zVpJ 
PastorBJHall, Fri Jan 29 18:59:12 +0000 2021, -82.866790, 40.015630, We need this in our office! Can you tell who is driving and who is the passenger? #workingfromhomechronicles… https://t.co/SIKtQBgkOj 
JonasVillanoyy, Fri Jan 29 18:59:12 +0000 2021, -117.166816, 33.138742, Another day another dollar 
bballkansas, Fri Jan 29 18:59:12 +0000 2021, -81.925651, 26.434323, This isn't me copying @TulsiGabbard .  Brennan and Schiff scare me more than anyone in my 58 years on this earth as… https://t.co/fKXHYVXhmx 
JLov0e, Fri Jan 29 18:59:12 +0000 2021, -73.849441, 40.850347, @KateBloom19 Them tits looking ripe dame girl do it to me.. 
shiannehendrix, Fri Jan 29 18:59:12 +0000 2021, -83.804475, 27.698682, if you talk to someone else about a weak moment i had, you’re flaw as fuck to me 
EMPRYL, Fri Jan 29 18:59:13 +0000 2021, -84.539813, 39.137038, This day has been MF A1.... Top tier shit so far...... 
a_frly, Fri Jan 29 18:59:12 +0000 2021, -111.931711, 34.168253, He's growing on my desk at work now 🙂 https://t.co/IsJuNLc5Pf 
tmj_sdf_itpm, Fri Jan 29 18:59:13 +0000 2021, -85.528578, 38.221414, FSA is hiring in Louisville, KY! Read about our latest #ProjectMgmt job opening via the link in our bio: Data Analy… https://t.co/xQYBzjRSMB 
tmj_NJ_schn, Fri Jan 29 18:59:13 +0000 2021, -74.809165, 39.976154, Join the CVS Health team! See our latest Distribution Center job openings, including "2nd Shift Conveyor Maintenanc… https://t.co/i8UbufzNFT 
tmj_ksk_sales, Fri Jan 29 18:59:13 +0000 2021, -94.789873, 38.827109, Don't be shy. Score a job like "Sales Operations Analyst II" at Thermo Fisher Scientific by asking for referrals. I… https://t.co/fUeyr1gtNa 
praisenya, Fri Jan 29 18:59:13 +0000 2021, -84.515786, 33.846765, Has anybody ordered from shein before? 
GingerTimothy, Fri Jan 29 18:59:13 +0000 2021, -85.722346, 38.195555, Hey!If y’all could check out my band, Forty-Seven Flood, on @instagram I’d really appreciate it!https://t.co/yLlrYvJvCH 
k_herndo, Fri Jan 29 18:59:13 +0000 2021, -90.517684, 38.793047, @SharpmackTracy I practically live meal to meal 
tmj_fre_pharm, Fri Jan 29 18:59:13 +0000 2021, -119.764327, 36.869959, This Pharmacy Technician - Retail Store job might be a great fit for you. Click the link in our bio to see it and m… https://t.co/E0S2JJbktB 
BElllAMusic, Fri Jan 29 18:59:13 +0000 2021, -74.247100, 42.311600, “Don’t trip”📸 @emceebrandon 🎥 @renaipince6 @ Windham , New York https://t.co/2pojDCGadL 
AJTiedt92, Fri Jan 29 18:59:13 +0000 2021, -117.585658, 33.859093, I like cuomo now 
drozaayy, Fri Jan 29 18:59:13 +0000 2021, -76.362276, 37.050897, I miss life before COVID, because I CANT FUCKING BREATHE in this MASK 😡 
Marked_Bissell, Fri Jan 29 18:59:13 +0000 2021, -118.411907, 34.020789, What the actual hell??? It’s crazy the Congress Person has to move offices, and even fucking crazier another member… https://t.co/5AnbnR2zB7 
allamericanford, Fri Jan 29 18:59:13 +0000 2021, -74.315023, 40.384561, We’re excited to announce that we’re now a Proud Partner of @RUAthletics! Congrats on the huge win last night by… https://t.co/3oZ38HWxnE 
_zoerivera, Fri Jan 29 18:59:13 +0000 2021, -75.770041, 42.746617, wish i could sleep all day like my cats.. they’re prob so warm 
broadrippleindy, Fri Jan 29 18:59:13 +0000 2021, -86.140312, 39.869348, Join the BRVA in January and be placed in a drawing for a $25 gift card from BR merchants like @justpopin! Go to… https://t.co/KoVzQVLdFF 
aficado, Fri Jan 29 18:59:14 +0000 2021, -74.417965, 41.434106, u heard the man 
georgeslayy, Fri Jan 29 18:59:13 +0000 2021, -95.679336, 29.679715, @hiloycc https://t.co/TbX69ASFVE 
_RyDope, Fri Jan 29 18:59:14 +0000 2021, -115.061127, 36.184754, @niaikuko Facts lmao because um I’m hungry too bitch 
mickaellee70, Fri Jan 29 18:59:14 +0000 2021, -98.716992, 35.309047, Play  #CrunchClassicEntry 
el_reportero, Fri Jan 29 18:59:14 +0000 2021, -102.558037, 23.625418, @XiMeNaKa Suburban dwellers 
alycemichelle22, Fri Jan 29 18:59:14 +0000 2021, -97.754724, 30.323346, @LBlackbourn Them pants tho 😻 
tomcoma123, Fri Jan 29 18:59:14 +0000 2021, -112.299283, 40.538342, I dont care if you dont like me im a lover not a fighter im romeo 
ActivatedTo, Fri Jan 29 18:59:14 +0000 2021, -74.187304, 40.808510, @LindseyGrahamSC How long before you swallow more of tumors piss? 
NorthBankNorman, Fri Jan 29 18:59:14 +0000 2021, -122.496046, 37.609344, Just posted a photo @ Mostly Rock 'n' Roll Gallery https://t.co/HOOfxTsuPI 
MarkSmi35403454, Fri Jan 29 18:59:14 +0000 2021, -94.822776, 29.287575, @Jord_45 We all do 
DavidGibsonTV, Fri Jan 29 18:59:14 +0000 2021, -101.267940, 48.232810, @RenzoTheDon Aye big time! Keep grinding 
iwaspoisoned_, Fri Jan 29 18:59:14 +0000 2021, -78.280558, 39.027608, Middletown, Virginia - We were at my moms friends house and we had some wings and so after that my mom started to t… https://t.co/NxQMMnc6Lq 
alexsandozz, Fri Jan 29 18:59:14 +0000 2021, -122.896817, 46.133596, Sarah, you impacted so many people’s lives.. I know it’s supposed to get easier, everyone always says that... but t… https://t.co/y62TSjzn2v 
mynamehereme, Fri Jan 29 18:59:14 +0000 2021, -118.411907, 34.020789, @KamalaHarris I can't be myself. Please help the next generation this way. 
Peppy_LeCue, Fri Jan 29 18:59:14 +0000 2021, -83.173867, 32.678207, 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡#fisagate 
twowheelsg, Fri Jan 29 18:59:14 +0000 2021, -73.831187, 40.670879, In an alternative history, the FDR was converted to a 30 foot wide southbound one way bikelane and people brought o… https://t.co/RYmtoR4Zyq 
TheAbbeyWeHo, Fri Jan 29 18:59:14 +0000 2021, -118.369645, 34.087010, We’re open!!! Rain or Shin! #Rain #LArain #MeetMeAtTheAbbey #MeetMeAtTheChapel #LGBTQ #reopening https://t.co/vJm8kaXeNz 
MarvVSGunZ, Fri Jan 29 18:59:15 +0000 2021, -75.610684, 38.657398, @Dominicano_Polo @_Mikewazowski__ @LaurennnEF Make sure you she comes to every race cause you be getting clapped when she don’t 
